825, 860, 894, 689|0.019185714423656464, -0.026391461491584778, 0.009049403481185436|0.41214248538017273, 1.505072832107544, 3.0018703937530518
823, 860, 894, 697|0.02313832752406597, -0.025998251512646675, 0.00930089596658945|-0.5347632765769958, 2.89046311378479, 3.1461732387542725
823, 866, 897, 697|0.019816972315311432, -0.027092140167951584, 0.00549641577526927|-1.216199278831482, 3.287771463394165, 3.1698710918426514
823, 866, 897, 697|0.013104496523737907, -0.027128098532557487, 0.005199646111577749|-1.658971905708313, 2.7896955013275146, 3.278015613555908
823, 866, 897, 698|0.005495062097907066, -0.024685610085725784, 0.0029492927715182304|-1.6160537004470825, 2.1850595474243164, 3.3779971599578857
816, 879, 889, 698|-0.0031540703494101763, -0.020255303010344505, 0.0017801109934225678|-1.2015862464904785, 2.38621187210083, 3.574934959411621
816, 879, 889, 698|-0.011479088105261326, -0.015848515555262566, 0.00010021912021329626|-0.749830961227417, 2.3590800762176514, 3.841160297393799
816, 879, 889, 698|-0.018366070464253426, -0.013585844077169895, 5.066479934612289e-05|-0.5483412146568298, 1.4421919584274292, 4.0010986328125
825, 879, 901, 702|-0.025166597217321396, -0.013461933471262455, 0.00088903633877635|-0.6631616950035095, 0.43503907322883606, 4.06976842880249
825, 882, 901, 702|-0.03219388797879219, -0.011265089735388756, 0.006769103929400444|-0.34452423453330994, -0.5764418244361877, 4.095498561859131
825, 882, 901, 702|-0.03687277063727379, -0.011369253508746624, 0.016315177083015442|0.4583089351654053, -1.5048978328704834, 4.095725059509277
826, 882, 901, 704|-0.03779955580830574, -0.010828335769474506, 0.02141762711107731|0.6861953139305115, -2.2390871047973633, 4.115228652954102
826, 887, 897, 704|-0.04435797408223152, -0.004495386034250259, 0.02969544008374214|-0.011320739053189754, -2.5070321559906006, 4.1126627922058105
826, 887, 897, 704|-0.04687828943133354, -0.0036646914668381214, 0.034989867359399796|-0.5670963525772095, -2.809499979019165, 4.029011249542236
826, 887, 897, 711|-0.04417044669389725, -0.0056584617123007774, 0.04352685064077377|-0.4496368169784546, -3.5304949283599854, 3.9560091495513916
823, 897, 899, 711|-0.042898111045360565, -0.005925794597715139, 0.04854799434542656|0.13000637292861938, -3.9664430618286133, 3.862293243408203
823, 897, 899, 711|-0.04311623424291611, -0.005978803150355816, 0.05694763362407684|0.8548542857170105, -3.585056781768799, 3.6799960136413574
823, 897, 899, 711|-0.040561821311712265, -0.005853624083101749, 0.05843264237046242|1.0698983669281006, -2.5826146602630615, 3.4880216121673584
827, 897, 895, 704|-0.038060400635004044, -0.005829853471368551, 0.06129591166973114|0.7078898549079895, -1.611483097076416, 3.291456460952759
827, 900, 895, 704|-0.03544002026319504, -0.0057760789059102535, 0.06184355169534683|0.10062899440526962, -1.2850213050842285, 3.098233461380005
827, 900, 895, 704|-0.033758457750082016, -0.00527569092810154, 0.06673816591501236|-0.08616418391466141, -0.9360917806625366, 2.9223358631134033
831, 900, 895, 704|-0.028069498017430305, -0.0047366684302687645, 0.06785938888788223|0.4144200384616852, -0.8361167907714844, 2.739548444747925
831, 901, 892, 704|-0.024914974346756935, -0.0032992407213896513, 0.07232379168272018|0.6034154891967773, -0.24847079813480377, 2.6392335891723633
831, 901, 892, 704|-0.023465249687433243, -0.0016945418901741505, 0.07411978393793106|0.30841171741485596, 0.7026497721672058, 2.6234183311462402
831, 901, 892, 698|-0.021013880148530006, -0.0027449161279946566, 0.07427193969488144|-0.05083640664815903, 1.0383031368255615, 2.581624746322632
840, 902, 890, 698|-0.021938834339380264, -0.002744293538853526, 0.07525426149368286|-0.14558526873588562, 1.3033002614974976, 2.5704846382141113
840, 902, 890, 698|-0.02157353051006794, -0.002103964565321803, 0.07348230481147766|-0.05603541433811188, 1.4130792617797852, 2.5524301528930664
840, 902, 890, 698|-0.021981406956911087, -0.0055412366054952145, 0.07081889361143112|0.3301936388015747, 1.5469163656234741, 2.495029926300049
846, 902, 888, 686|-0.019689321517944336, -0.004723028279840946, 0.07074034214019775|0.3158074915409088, 1.4089949131011963, 2.4341506958007812
846, 905, 888, 686|-0.017770400270819664, -0.003607866121456027, 0.06909827142953873|0.04719100892543793, 1.1279668807983398, 2.3903915882110596
846, 905, 888, 686|-0.015901222825050354, -0.0030364571139216423, 0.06715404242277145|-0.22713589668273926, 1.1091322898864746, 2.36273193359375
857, 905, 888, 677|-0.014159473590552807, -0.002364475978538394, 0.0677676722407341|-0.49371081590652466, 0.9953572154045105, 2.2909181118011475
857, 905, 883, 677|-0.011605866253376007, -0.002210126491263509, 0.06741692870855331|-0.31979718804359436, 0.9104489088058472, 2.201047897338867
857, 905, 883, 677|-0.008365459740161896, -0.0023446870036423206, 0.06909240782260895|0.0150452246889472, 0.9898518919944763, 2.2319061756134033
857, 905, 883, 671|-0.007729454897344112, -0.0016860745381563902, 0.07060951739549637|0.05872255563735962, 0.8532942533493042, 2.506040573120117
863, 907, 883, 671|-0.007114230655133724, -0.001270972890779376, 0.0735011026263237|0.020371215417981148, 0.5309239625930786, 2.9685909748077393
863, 907, 883, 671|-0.006407693028450012, -0.0020596564281731844, 0.07395856082439423|-0.10627041757106781, 0.13362085819244385, 3.5188357830047607
863, 907, 883, 671|-0.0058257621712982655, -0.0028424852062016726, 0.0771070122718811|-0.0006010076613165438, -0.19560806453227997, 4.222437858581543
872, 907, 886, 663|-0.0055692195892333984, -0.001980437897145748, 0.08135328441858292|0.00775512820109725, -0.3409188985824585, 5.0513200759887695
872, 912, 886, 663|-0.004982161335647106, -0.0027498945128172636, 0.08520075678825378|0.02122441865503788, -0.6125643849372864, 5.921358108520508
872, 912, 886, 663|-0.006646737921983004, -0.0031206111889332533, 0.08821573108434677|0.12670056521892548, -0.7651265263557434, 6.86166524887085
878, 912, 886, 666|-0.003751676995307207, -0.0029161523561924696, 0.09351132810115814|0.14146089553833008, -1.0566768646240234, 7.950272083282471
878, 919, 890, 666|-0.006744628772139549, 0.003728244686499238, 0.09823662787675858|-0.23132993280887604, -1.0291253328323364, 9.119577407836914
878, 919, 890, 666|-0.005259287543594837, 0.003262926824390888, 0.1039334312081337|-0.0692901685833931, -1.2475091218948364, 10.3779296875
878, 919, 890, 665|-0.005916142836213112, 0.003389115910977125, 0.10647514462471008|0.1808186024427414, -1.6004194021224976, 11.640412330627441
897, 928, 895, 665|-0.005423842463642359, 0.001973208039999008, 0.11181329190731049|0.31826841831207275, -1.7969353199005127, 12.960138320922852
897, 928, 895, 665|-0.00036187138175591826, 0.0032781264744699, 0.1170797348022461|0.09992855787277222, -1.8230149745941162, 14.34993839263916
897, 928, 895, 665|0.0019017055165022612, 0.003301187651231885, 0.11943261325359344|-0.015805944800376892, -1.4625473022460938, 15.753561019897461
